user,created_at,text
dailydigger19,2020-04-20 23:59:50+00:00,#Coronavirus (Brazil) 
danielmanzoni,2020-04-20 23:59:50+00:00,Argentina and the Coronavirus! https://m.facebook.com/story.php?story_fbid=2879246642123071&amp;id=100001132890534?sfnsn=mo
Chrisawesome63,2020-04-20 23:59:49+00:00,Difference is that one of them is the President and had intel on the impending Pandemic #Trump #Coronavirus 
samiaji,2020-04-20 23:59:49+00:00,Coronavirus: F1 engineers and academics produced new breathing aid design in under 10 days 
mklavers81,2020-04-20 23:59:49+00:00,"My @WashBlade colleague @valdes_yariel interviewed Alberto Ravelo, a fashion designer in Miami who is making masks to help fight the spread of the coronavirus. Here is Yariel's story in English "
pegaita,2020-04-20 23:59:49+00:00,"Church of God in Christ #COGIC bishops, pastors killed by coronavirus - The nations largest black pentecostal denomination: "
Crug1971,2020-04-20 23:59:48+00:00,"Georgia, Tennessee announce plans to reopen some businesses, wind down coronavirus stay-at-home orders https://fxn.ws/3eBJZM5 #FoxNews @govbeshear"
NewsieMuse,2020-04-20 23:59:47+00:00,Coronavirus rules from around the world - CNN 
tlcesq,2020-04-20 23:59:47+00:00,OMG. So many ramifications from this disease! Three men found dead in NYC hotel quarantining coronavirus patients https://mol.im/a/8237293 via @MailOnline
Nez_216,2020-04-20 23:59:46+00:00,"This doesn't get enough attention. Something like this doesn't happen by chance. I wonder where the test went and how many people were given the virus via contaminated test CDC’s failed coronavirus tests were tainted with coronavirus, feds confirm. "
providence,2020-04-20 23:59:46+00:00,"Providence will be featured in the upcoming @frontlinepbs #Coronavirus #pandemic special report on Tuesday, April 21 at 6 pm PDT. Set your DVR and get an inside look at how we were the first health system in the nation to handle the COVID-19 pandemic."
sk161119,2020-04-20 23:59:45+00:00,Bro all these problems are caused by fake YouTube channels and what's app messages that spread lies that ppl who die of coronavirus cannot buried because it will contaminate the ground and virus will go into ground water and we will get the virus by drinking water.
DCClothesline,2020-04-20 23:59:45+00:00,Dead bodies litter the beaches as Ecuador sees explosion in fatalities from the coronavirus – VIDEO 
KiaMUFC,2020-04-20 23:59:45+00:00,"Louder? You Paa..!! You think the Coronavirus is gone eerrh? Not advisable, health wise!!"
NateHoot,2020-04-20 23:59:44+00:00,“I did take the Coronavirus very seriously.” -Trump #QuarantineQuotes
JesusBarabbas1,2020-04-20 23:59:44+00:00,"19 days and still no change? Still no explanation? Have you noticed what’s happening in the US, in Paris, in Moscow?? Tick tock... @uksciencechief @CMO_England @DHSCgovuk @MattHancock @DominicRaab #coronavirus #COVID19"
QueenCori,2020-04-20 23:59:43+00:00,Thank God for @NYGovCuomo He is leading like a BOSS! Lives matter not money! Let's get #CORONAVIRUS under control before risks other lives! #NewYorkCity
terrryiacone,2020-04-20 23:59:43+00:00,Coronavirus Response &amp; Ventilators: Trump Administration Handled Potential Shortage Deftly | National Review 
ErikSchouweile2,2020-04-20 23:59:43+00:00,@mngop y’all better find a candidate that will slam the HELL out of @GovTimWalz and his Handling of the coronavirus. Businesses small and large all across Minnesota are suffering Because of his government over reach!! Don’t blow it in 2022!!
tylerhabx,2020-04-20 23:59:42+00:00,Had to unfriend someone on Facebook because she said she hopes ariana grande gets corona virus and called her a terrorist.
p4nick_,2020-04-20 23:59:41+00:00,Covid-19 bacteria #fdp #covid #coronavirus #corona #xuxoe #c4d #ae #e3d #bacteria #mcrayban #quarentenaeu #quarentine em 𝘊𝘖𝘝𝘐𝘋-19 https://www.instagram.com/p/B_ONTOalg1n/?igshid=kdgra8az3flk
SanDiego_411,2020-04-20 23:59:41+00:00,"#Coronavirus positive cases in San Diego County since February 14, 2020. Data through April 19, 2020. Total Positives = 2,325 Hospitalizations = 562 Intensive Care = 189 Deaths = 72 #covid19 #Sandiego #covid-19"
TannerHealthSys,2020-04-20 23:59:40+00:00,"Need to unwind? If possible while social distancing, do something you love for a few minutes each day. And give your family members an opportunity to do the same. This list of things to do is amazing: https://qoo.ly/35kaum #StayHomeForUs #TannerHeroes #COVID19 #Coronavirus "
Lioness006,2020-04-20 23:59:40+00:00,"Yeah, Lakewood. With the 2nd highest rates of Coronavirus in Pierce County, behind Tacoma. Tell him to pull his head out of his ass and do something useful. Maybe for the homeless. Because there's nothing out there for us. Can't get hand sanitizer &amp; no public restrooms=illness."
LizHersch1,2020-04-20 23:59:39+00:00,#COVID19 #coronavirus #NancyPelosi let them eat ice cream.
Earth_Architect,2020-04-20 23:59:39+00:00,"Aren’t these the same people that think the earth is flat? Perhaps a truck caravan to the outer edges of the flat earth would be an appropriate time now during #Coronavirus for a road trip to the edges of the planet, yes? Gasoline is cheeaaaap"
Balkingpoints,2020-04-20 23:59:39+00:00,"Brian Kemp and the other moron governors who reopen too early, will face massive backlashes when their #CoronaVirus case curves start going back up. Medical community will be livid. If you live in #GA, #FL, #TX, your risk of exposure is likely getting worse before it gets better"
__caseymarie,2020-04-20 23:59:38+00:00,@stephochoa95 stopped by at work and I wanted to hug her so bad but I knew I shouldn’t this coronavirus needs to end soon
iamSANhedrin,2020-04-20 23:59:37+00:00,"In January of 2020 #global #economic prospects looked rosy. This on the back of relief in #trade tensions. But, it was short lived, on account of the #CoronaVirus #Disease of 2019 #Covid19 that was to lead to total #LockDown of economic activity, starting with #China..."
fortinowski,2020-04-20 23:59:37+00:00,"Ex-NYT reporter Alex Berenson calls on governors to reopen schools, questions coronavirus lockdowns "
TheMikk17,2020-04-20 23:59:37+00:00,The Coronavirus task force.
Lumumbakareem1,2020-04-20 23:59:36+00:00,"Not 41,000 souls and grieving families but #Ventilators ,#ventilators #Ventilators ⁦@realDonaldTrump⁩ #coronavirusplague #coronaviruspandemic #coronavirus. @whitehouse"
vandanarambaran,2020-04-20 23:59:36+00:00,Trump invites Cuomo to White House for meeting on coronavirus response @FoxNews
stanleysuen,2020-04-20 23:59:36+00:00,"U.S. Senate sees possible Tuesday coronavirus vote, Pelosi said optimistic "
sleepysparrows,2020-04-20 23:59:36+00:00,Joe Biden wasn’t supposed to be running a country heading into a pandemic during February and March. He also wasn’t going around calling the Coronavirus a hoax. Our president should’ve spent less time at rallies and golfing and more time preparing.
MiasmaEternal,2020-04-20 23:59:36+00:00,Time to buy an unusual. *trades 5000 barrels of oil*
schemaly,2020-04-20 23:59:36+00:00,Some more important insights: “We tested all our patients for coronavirus. 88 percent of those infected were asymptomatic.” 
JayHiggies,2020-04-20 23:59:35+00:00,Massachusetts seen as a new coronavirus hot spot as cases surge https://fxn.ws/2RRwe24 #FoxNews
EastandPartners,2020-04-20 23:59:35+00:00,"Crippling FX Losses Compound Coronavirus Pain: https://lnkd.in/fUcb-YM #ausbiz suffered #currency losses of A$3.4b in the last six months despite subdued #AUD volatility preceding #coronavirus crisis, new research from @EastandPartners shows #FX #CFO #corporatetreasurer $AUD"
JosephSerna,2020-04-20 23:59:35+00:00,"Hundreds of thousands in L.A. County may have been infected with coronavirus, study finds https://www.latimes.com/california/story/2020-04-20/coronavirus-serology-testing-la-county @melmason"
