user,created_at,text
Anschutz2012,2020-04-20 23:51:28+00:00,The deaths from severe economic downturn will kill more than this virus. People were one half to one generation removed from agrarian lifestyles when the Great Depression hit. How many generations away from self sufficiency are we now?
magicmonty25,2020-04-20 23:51:15+00:00,".@realDonaldTrump Meanwhile, the Wuhan virus is killing us while Democrats starve us https://www.washingtonexaminer.com/news/schumer-paycheck-protection-program-delayed-to-get-loans-for-minority-groups-and-rural-areas #ChinaVirus #ChinaMustPay #ChineseVirus #CCPVirus #bioweapon #DemocratsHateAmerica .@SpeakerPelosi .@chuckschumer #EmptyHospitals #Biden2020 #Trump2020 #BREAKING"
mooncop1,2020-04-20 23:51:04+00:00,But yet we had elite snobs have a concert and raise money for this corrupt organization instead of Americans suffering though this Chinese virus.
Mr_Dan_Bergson,2020-04-20 23:51:01+00:00,Ok @CBCNews it was a bad deal in NS! But almost 2000 canadians have died from the Chinese virus ! So you need to get your head out of your ass!
Anschutz2012,2020-04-20 23:50:54+00:00,"I can look at the facts and look at Amy’s numbers and, just like everyone else here, see she has no fucking clue. You going to refute that or keep name calling? Follow up: What do they call the person that finishes last in med school? Doctor."
SUAVGOD,2020-04-20 23:50:34+00:00,"@Asian,Hispanics,and other minorities. We supposed to look out for each other fam get on the white people that called the Coronavirus ""Kung Flu"" And the ""Chinese virus"" we ain't innocent but they started it "
mrcleansedotcom,2020-04-20 23:50:33+00:00,they've got to get exhausted thru greeting all those leaving in health
k_ricciardo,2020-04-20 23:50:29+00:00,"promote their fake stories. Now we see them blame Trump for a Chinese virus and use the dem media to scare people and destabilize our markets. Let's talk about the Chinese girl that they're looking for, that they think is now back in China , that had access to our defense"
GujaratiGarvo,2020-04-20 23:50:28+00:00,That will be the best outcome of this deadly #ChineseVirus tragedy .
primafacie,2020-04-20 23:50:02+00:00,“It’s basically the flu.” “(Deaths) will be down to zero like a miracle.” “Chinese virus.” That’s how.
yogendrapal72,2020-04-20 23:49:50+00:00,"Coronavirus - Indian Envoy's Tweet Amid Backlash Over ""Islamophobic"" Posts In India - NDTV #coronavirus #coronarvirues #CoronaOutbreak #Wuhan #China #COVID19 #India #COVID #coronavirusindia #CoronaVirusUpdate #ChineseVirus #WuhanVirus #UAE"
mrcleansedotcom,2020-04-20 23:49:19+00:00,in other words editing the news is a right of Fake Media.....
IMirviss,2020-04-20 23:49:18+00:00,"BTW, what is the updated mortality rate from the #ChineseVirus? Have you seen today's reports out of Kalifornia? And I don't mean Queen Pelosi's $24,000 freezers full of gourmet ice cream "
homie56247663,2020-04-20 23:49:03+00:00,A lot less !! Most numbers are for everything to heart attacks or diabetes. And yes the common flu still has higher numbers than the Chinese virus
joshinsk,2020-04-20 23:48:33+00:00,"Besides the fact that this is fucked up, racist, wrong, and not remotely humorous... We all were angry about our President calling it the Chinese virus less than a month ago then some of you turn and do this to the people defending us. "
ShoeShine651,2020-04-20 23:48:32+00:00,"The pandemic does not change that clear obligation. American officials must adhere to the Constitution, now more than ever, for the consequences of failure are dire. #DefundWHO #OpenAmerica #Covid19usa #Bitcoin #MondayMotivation #mondaythoughts #TheWHO #ChineseVirus #WHO #WHOLied"
ScottR1169,2020-04-20 23:48:27+00:00,This is the 2nd Chinese virus #Coronavirus they let 2 versions go to trap US into false sense of security! #HoldThemToAccount W.H.O. is complicit in the cover up. God will deliver us from evil
JohnWallTX,2020-04-20 23:48:09+00:00,This guy is no fan of the Chinese Virus. #TeamAresco
Kodak621,2020-04-20 23:47:35+00:00,Imagine being so dumb to think you need a vaccine because a high school graduate sold it to you. As far as hydroxychloroquine- it is for malaria and Chinese virus.
ceraseebush,2020-04-20 23:47:33+00:00,then these long curfew times naa go create a cluster of people and increase the probability again? kmt. #covid19ja
mrcleansedotcom,2020-04-20 23:47:27+00:00,not self-deception but the deception of the public...this should be severely punished...creating a shortage of tar and feathers which we never recover from #maga #americafirst
EgoAlterTrump1,2020-04-20 23:47:07+00:00,"You know if the KENYAN administration would have left us with ANY ammunition, we coulda shot this CHINESE VIRUS right in the ass. You couldn't believe it.. NOT ONE BULLET..our snipers were using BBS!!!!! Pathetic. Thanks Obama"
IrishAmerican07,2020-04-20 23:47:00+00:00,"I totally agree. I’m not in agreement that the Chinese virus is anything like World War II, World War I, Vietnam, any war where Americans gave their lives makes Chinese virus look like peanuts. I’m not sorry for my last statement "
local_shredder,2020-04-20 23:46:59+00:00,Amen. Take it to the bank. The paper trail that the press refused to cover has them fu**ed. . #ChineseVirus #ChinaVirus #COVID19 #mondaythoughts #Trump #Truth #Politics #healthcare #Spygate #Media
logbas310,2020-04-20 23:46:27+00:00,Because it's Chinese virus.
IDFAmerica,2020-04-20 23:46:22+00:00,@shawnfromtwitt some decent info in the second interview
Anschutz2012,2020-04-20 23:46:02+00:00,It would improve his situation because he’d probably get a shit ton of fed $$$to implement it.
Richard02352970,2020-04-20 23:45:53+00:00,"Who give a shit , nothing I want to associate with the Chinese Virus"
yogendrapal72,2020-04-20 23:45:45+00:00,#Canadian oil prices fall below $0 as global demand vaporizes #OilPrice #OilCrash #OilPrices #coronavirusinindia #COVIDー19 #COVID19 #COVID #COVID2019 #china #ChinaCoronaVirus #ChineseVirus #WuhanVirus
Kennny__D,2020-04-20 23:45:45+00:00,If we call it chinese-virus now they'll get angry with their Kung-FLU
ridehard2020,2020-04-20 23:45:40+00:00,Today’s left always finds some technical context to spin negative against this president. They can’t handle the fact that he’s done such a good job in less than one term and that his response to this Chinese virus pandemic has been outstanding considering all needed rebuilding
