user,created_at,text
danieltheman24,2020-02-28 19:16:01+00:00,Chinese virus will die must give time
Yuknothevibes,2020-02-28 19:09:13+00:00,"Lol mannn, gotta be cautious. Imagine dying from a chinese virus lol foh"
Petofisand,2020-02-28 19:07:16+00:00,Who can explain to me that why would these people scared when they believe that Allah knows everything and he protects Muslims ! Why would Allah harm if u follow one of his commend? Don’t be scared chinese virus is friend of yours and friends won’t hurt each other !
WatchPnw,2020-02-28 18:57:22+00:00,"what does this have to do with Trump, it's a Chinese Virus?"
Petofisand,2020-02-28 18:54:33+00:00,It’s Mekka saud Arabia ! Don’t be scared arabs Allah will protect you from chinese virus ! I heard friends don’t attack each other and beside it Allah is with you!
mle0908,2020-02-28 18:45:43+00:00,Hmm I don’t know...Blaming a Mexican beer for a Chinese virus seems pretty on-brand for Trumpies
MsCrystal6,2020-02-28 18:45:24+00:00,"Please shake as many hands as you can! Chinese virus hoax, be damned!"
anntracyart,2020-02-28 18:36:59+00:00,No. I’m not familiar w/ any past president constantly bragging about how he is the Best President ever is cuz look at the stock market. Now he is blaming the dive on CNN. Like an American TV station has control over the global market and a Chinese virus.
xdschoonx,2020-02-28 18:34:49+00:00,Trading $ES derivatives. Futures SP500.....Cannot work markets to much volitilty. Chinese virus. Need find a drug. Chinese testing drugs no restrictions like EU USA. Good for being Communist. Chinese system works.
BitcoinDood,2020-02-28 18:28:04+00:00,This #CoronaVirus is like being in a movie. @Crypto_Bitlord in China talks about weird virus. First I heard. News reports start talking about Chinese virus. Stock market crashes on fears. News agencies obsess about outbreak. I'm waiting for reported zombie sightings. 
hobbes365,2020-02-28 18:11:35+00:00,"I feel the need to grab a case at Albertsons and be obnoxious about it at checkout so everyone can hear me: ""what idiot thinks you can get a Chinese virus from a Mexican beer?!"" We must help right this wrong out of principle, Scott."
JonesFortinbras,2020-02-28 18:09:33+00:00,NEWS: Limbaugh admits exposure to man-made Chinese virus that dramatically increases victims’ susceptibility to believe and spread idiotic conspiracy theories.
annaxmufc,2020-02-28 18:05:13+00:00,How long till they find a bloody cure for the Chinese virus!!!
TSFPhotoCartoon,2020-02-28 17:58:51+00:00,@SpeakerPelosi @SenSchumer &amp; the Democrats R rooting 4 R death. The happiest day would be the day Americans die from the Chinese virus. It’s bad enough they R 4 infanticide. They hope we have deaths from the virus &amp; everyone loses their savings. VOTE ALL DEMOCRATS OUT!!!
ashlyn68,2020-02-28 17:48:59+00:00,@OutnumberedFNC TRUMP IS ENTITLED TO OWN THE GOOD STOCK MARKET WHILE AT THE SAME TIME NOT BEING BLAMED FOR A HUGE STOCK MARKET FALL THAT HAS ZERO TO DO WITH HIM; HE DID A LOT TO HELP RAISE THE STOCK MARKET BUT THE CHINESE VIRUS IS RESPONSIBLE FOR LOWERING IT NOT TRUMP!
thecitizeNY,2020-02-28 17:41:30+00:00,How would a wall on the US/Mexico border protect us from the spread of a Chinese virus? It's not like Asian tourists are walking to America via Mexico -- and the wall can't stop airplane traffic.
taicalavera,2020-02-28 17:40:32+00:00,"If you are reading this in future, I voted for Jubilee 3 times for them to kill me with a Chinese virus. #coronaviruskenya"
pookakuya,2020-02-28 17:40:18+00:00,"You mean stick to YOUR version of SCIENCE and YOUR version of TRUTH??? Yeah, scientists like me aren’t falling for that! And yes, I work with viruses and have done reverse genetics projects on a Chinese virus with 95% mortality. Screw you"
IrishinSocal,2020-02-28 17:38:48+00:00,A British man died from a Chinese virus while in Japan. OR Man dies from bad flu. Which one sounds like it would get more clicks?
Oilfield_Jobs,2020-02-28 17:37:25+00:00,if the left is going to blame a chinese virus on Trump you better be damned sure people who support the left will get called out on their violence since they try so desperately to blame that shit on Trump as well. enjoy the double baked.
jcaudill38,2020-02-28 17:35:16+00:00,"True, the stock market sell-off supposedly attributed to the Chinese Virus was magnified by the Democrats accusation that Trump was lackadaisical in his response abetted by the liberal media coverage. Trumps success was economical so they went after it!"
StephenLandfie1,2020-02-28 17:30:58+00:00,"Truth? What truth? Perhaps the thousands who die from the flu virus every year; zero here from that Chinese virus. You libs are Trump haters. If Biden, Hillary, or Bernie were president all you libs would jump up and down saying what a great job the president is doing."
seveneyes333,2020-02-28 17:30:05+00:00,Cause Biden and Obama are Chinese virus wisperers.. Politisizing a deadly disease. You're sick
nakedmarauder,2020-02-28 17:28:40+00:00,Public schools will be great they say... now a plurality of people think their Mexican beer has a Chinese virus. We live in Idiocracy without all the cool stuff.
mikebsh,2020-02-28 17:25:07+00:00,The virus should be named Chinese virus 19
immahshik,2020-02-28 17:22:45+00:00,Chinese virus is what Republicans in the US call it after Democrats tried calling it Trump virus...
tomlee80076127,2020-02-28 17:22:32+00:00,your name is Chinese Virus?
Wolv_Mike70,2020-02-28 17:22:07+00:00,The entire world is being run by the UN agenda now. The weaponized Chinese virus has been leaked and now we all might be hitting quarantine.
SheikhCaesar,2020-02-28 17:09:16+00:00,"Hello mr.Koonts, I have a question about one of your books called The eyes of darkness. In this book, you wrote that the Chinese virus in 2020 is endangering the world. Did you know anything about it? And why did you not inform the people of the world earlier as a human duty؟"
BanShariaUSA,2020-02-28 17:08:20+00:00,"In your dreams. If you seriously believe the American people blame President Trump for a Chinese virus outbreak, you need to get out of your echo chamber and talk to real people. The more you do this, the more supporters he gets. #TDR"
hobbes365,2020-02-28 17:03:02+00:00,"Almost wanna go buy a case and be obnoxious about it at the checkout ""What fucking idiot would think a Mexican beer would give them a Chinese virus?"" Or something like that. "
